类别 	产品小类 	性质、用途、功效 	适用农作物 												
4 	AGROFINA S.A. 	除草剂、杀虫剂、杀菌剂 	 9,129.51   	3.14 											
4 	LOS GROBO AGROPECUARIA S.A. 	除草剂、杀菌剂 	  1,395.87   	0.48 											
4 	LOS GROBO AGROPECUARIA S.A. 	除草剂、杀菌剂 	  1,395.87   	0.48 											
5 	OURO FINO QUÍMICA LTDA 	除草剂 	8,937.16 	3.07 											
5 	OURO FINO QUÍMICA LTDA 	除草剂 	8,937.16 	3.07 											
6 	UPL ARGENTINA S.A. 	除草剂、杀虫	6,489.09   	2.23 											
6 	UPL ARGENTINA S.A. 	除草剂、杀虫	6,489.09   	2.23 											
															
剂、杀菌剂 															
除草剂 	5,189.38   	1.79 													
除草剂 	5,189.38   	1.79 													
除草剂 	533.13   	0.18 													
除草剂 	533.13   	0.18 													
除草剂 	4.85   	0.00 													
除草剂 	4.85   	0.00 													
除草剂、杀虫剂、杀菌剂 	5,349.14   	1.84 													
除草剂、杀虫剂、杀菌剂 	5,349.14   	1.84 													
除草剂 	5,124.47   	1.76 													
除草剂 	5,124.47   	1.76 													
除草剂、杀虫剂、杀菌剂 	5,044.62   	1.74 													
除草剂、杀虫剂、杀菌剂 	5,044.62   	1.74 													
- 	100,210.84 	34.48 													
- 	100,210.84 	34.48 													
															
7 	ADAMA AUSTRALIA PTY LIMITED 														
7 	ADAMA ARGENTINA S.A. 														
7 	ADAMA ARGENTINA S.A. 														
7 	ADAMA BRASIL S/A 														
7 	ADAMA BRASIL S/A 														
8 	GRUPO AGROS S.A. 														
8 	GRUPO AGROS S.A. 														
9 	Chia Tai Co., Ltd 														
9 	Chia Tai Co., Ltd 														
10 	AGROSERVICIOS PAMPEANOS S.A. 														
10 	AGROSERVICIOS PAMPEANOS S.A. 														
合计 	合计 														
合计 	合计 														
															
序号 	客户名称 	具体产品 	金额（万元） 	占比（%） 											
1 	ALBAUGH AGRO BRASIL LTDA 	除草剂 	  24,005.20   	  4.76   											
1 	ALBAUGH AGRO BRASIL LTDA 	除草剂 	  24,005.20   	  4.76   											
1 	ATANOR S.C.A 	除草剂 	  16,614.82   	  3.29   											
1 	ATANOR S.C.A 	除草剂 	  16,614.82   	  3.29   											
1 	ATANOR S.C.A 	杀虫剂 	  1,050.26   	  0.21   											
1 	ATANOR S.C.A 	杀虫剂 	  1,050.26   	  0.21   											
1 	Albaugh LLC 	除草剂 	  9,535.60   	  1.89   											
1 	Albaugh LLC 	除草剂 	  9,535.60   	  1.89   											
1 	Albaugh LLC 	杀菌剂 	  358.48   	  0.07   											
1 	Albaugh LLC 	杀菌剂 	  358.48   	  0.07   											
2 	NUFARM INDUSTRIA QUIMICA E   FARMACEUTICA SA 	除草剂 	  14,034.20   	  2.78   											
2 	NUFARM INDUSTRIA QUIMICA E   FARMACEUTICA SA 	除草剂 	  14,034.20   	  2.78   											
2 	NUFARM S.A 	除草剂 	  9,467.47   	  1.88   											
2 	NUFARM S.A 	除草剂 	  9,467.47   	  1.88   											
2 	NUFARM S.A 	杀虫剂 	  294.61   	  0.06   											
2 	NUFARM S.A 	杀虫剂 	  294.61   	  0.06   											
2 	NUFARM COLOMBIA S.A. 	除草剂 	  2,203.89   	  0.44   											
2 	NUFARM COLOMBIA S.A. 	除草剂 	  2,203.89   	  0.44   											
2 	NUFARM COLOMBIA S.A. 	杀虫剂 	350.92 	  0.07   											
2 	NUFARM COLOMBIA S.A. 	杀虫剂 	350.92 	  0.07   											
2 	NUFARM COLOMBIA S.A. 	杀菌剂 	  289.57   	  0.06   											
2 	NUFARM COLOMBIA S.A. 	杀菌剂 	  289.57   	  0.06   											
2 	NUFARM AMERICAS INC. 	除草剂 	        1,767.98   	        0.35   											
2 	NUFARM AMERICAS INC. 	除草剂 	        1,767.98   	        0.35   											
2 	NUFARM AUSTRALIA LIMITED 	除草剂 	636.54   	        0.13   											
2 	NUFARM AUSTRALIA LIMITED 	除草剂 	636.54   	        0.13   											
2 	NUFARM NZ DIVISION OF NUFARM LIMITED 	除草剂 	  616.66   	  0.12   											
2 	NUFARM NZ DIVISION OF NUFARM LIMITED 	除草剂 	  616.66   	  0.12   											
2 	Nufarm Services (Singapore) Pte Ltd 	除草剂 	  378.75   	  0.08   											
2 	Nufarm Services (Singapore) Pte Ltd 	除草剂 	  378.75   	  0.08   											
2 	NUFARM GRUPO MEXICO S DE RL DE CV 	除草剂 	161.92     	  0.03   											
2 	NUFARM GRUPO MEXICO S DE RL DE CV 	除草剂 	161.92     	  0.03   											
2 	NUFARM MALAYSIA SDN BHD   	除草剂 	  111.08   	  0.02   											
2 	NUFARM MALAYSIA SDN BHD   	除草剂 	  111.08   	  0.02   											
3 	TECHNO FARM CORP 	除草剂 	18,274.34 	3.62 											
3 	TECHNO FARM CORP 	除草剂 	18,274.34 	3.62 											
3 	TECHNO FARM CORP 	杀虫剂 	3,674.49 	0.73 											
3 	TECHNO FARM CORP 	杀虫剂 	3,674.49 	0.73 											
															
杀菌剂 	1,674.81 	0.33 													
其他 	1,934.51 	0.38 													
其他 	1,934.51 	0.38 													
除草剂 	  6,845.70   	  1.36   													
除草剂 	  6,845.70   	  1.36   													
杀菌剂 	853.60     	  0.17   													
杀菌剂 	853.60     	  0.17   													
除草剂 	  7,363.09   	  1.46   													
除草剂 	  7,363.09   	  1.46   													
除草剂 	1,020.50     	  0.20   													
除草剂 	1,020.50     	  0.20   													
除草剂 	  531.09   	  0.11   													
除草剂 	  531.09   	  0.11   													
除草剂 	  322.29   	  0.06   													
除草剂 	  322.29   	  0.06   													
除草剂 	  100.45   	  0.02   													
除草剂 	  100.45   	  0.02   													
除草剂 	  69.49   	  0.01   													
除草剂 	  69.49   	  0.01   													
除草剂 	  12,701.77   	  2.52   													
除草剂 	  12,701.77   	  2.52   													
杀虫剂 	  1.17   	  0.00   													
杀虫剂 	  1.17   	  0.00   													
杀菌剂 	  2,032.52   	  0.40   													
杀菌剂 	  2,032.52   	  0.40   													
除草剂 	  623.03   	  0.12   													
除草剂 	  623.03   	  0.12   													
除草剂 	  14,716.74   	  2.92   													
除草剂 	  14,716.74   	  2.92   													
除草剂 	  11,050.42   	  2.19   													
除草剂 	  11,050.42   	  2.19   													
杀虫剂 	  136.92   	  0.03   													
杀虫剂 	  136.92   	  0.03   													
杀菌剂 	  181.02   	  0.04   													
杀菌剂 	  181.02   	  0.04   													
其他 	  307.23   	  0.06   													
其他 	  307.23   	  0.06   													
除草剂 	491.87   	  0.10   													
除草剂 	491.87   	  0.10   													
杀虫剂 	80.45   	  0.02   													
杀虫剂 	80.45   	  0.02   													
杀菌剂 	416.62   	  0.08   													
杀菌剂 	416.62   	  0.08   													
除草剂 	  9,548.82   	  1.89   													
除草剂 	  9,548.82   	  1.89   													
杀虫剂 	  908.67   	  0.18   													
杀虫剂 	  908.67   	  0.18   													
杀菌剂 	  1,658.13   	  0.33   													
杀菌剂 	  1,658.13   	  0.33   													
除草剂 	  11,500.51   	  2.28   													
除草剂 	  11,500.51   	  2.28   													
杀虫剂 	  159.60   	  0.03   													
杀虫剂 	  159.60   	  0.03   													
杀菌剂 	  150.41   	  0.03   													
杀菌剂 	  150.41   	  0.03   													
除草剂 	  10,728.53   	  2.13   													
除草剂 	  10,728.53   	  2.13   													
- 	  201,936.71   	  40.02   													
- 	  201,936.71   	  40.02   													
															
4 	ADAMA AUSTRALIA PTY LIMITED 														
4 	ADAMA BRASIL S/A 														
4 	ADAMA BRASIL S/A 														
4 	ALLIGARE LLC 														
4 	ALLIGARE LLC 														
4 	ADAMA NEW ZEALAND PTY LIMITED 														
4 	ADAMA NEW ZEALAND PTY LIMITED 														
4 	ADAMA Agan LTD. 														
4 	ADAMA Agan LTD. 														
4 	ADAMA CROP SOLUTIONS ACC, S.A. 														
4 	ADAMA CROP SOLUTIONS ACC, S.A. 														
4 	CONTROL SOLUTIONS INC 														
4 	CONTROL SOLUTIONS INC 														
5 	AGROFINA S.A. 														
5 	AGROFINA S.A. 														
5 	LOS GROBO AGROPECUARIA S.A. 														
5 	LOS GROBO AGROPECUARIA S.A. 														
6 	DU PONT DO BRASIL S.A. 														
6 	DU PONT DO BRASIL S.A. 														
7 	MOLINO CANUELAS S.A.C.I.F.I.A. 														
7 	MOLINO CANUELAS S.A.C.I.F.I.A. 														
7 	COMPANIA ARGENTINA DE GRANOS S.A 														
7 	COMPANIA ARGENTINA DE GRANOS S.A 														
8 	AGROSERVICIOS PAMPEANOS S.A. 														
8 	AGROSERVICIOS PAMPEANOS S.A. 														
9 	VILLA CROP PROTECTION (PTY) LTD 														
9 	VILLA CROP PROTECTION (PTY) LTD 														
10 	OURO FINO QUÍMICA LTDA 														
10 	OURO FINO QUÍMICA LTDA 														
合 计 	合 计 														
合 计 	合 计 														
															
序号 	客户名称 	具体产品 	金额（万元） 	占比（%） 											
1 	ATANOR DO BRASIL LTDA 	除草剂 	        24,751.35   	6.51   											
1 	ATANOR DO BRASIL LTDA 	除草剂 	        24,751.35   	6.51   											
1 	Albaugh LLC 	除草剂 	        12,811.19   	3.37   											
1 	Albaugh LLC 	除草剂 	        12,811.19   	3.37   											
															
杀菌剂 	                248.45   	0.07   													
除草剂 	            6,517.30   	1.71   													
除草剂 	            6,517.30   	1.71   													
杀虫剂 	                407.70   	0.11   													
杀虫剂 	                407.70   	0.11   													
除草剂 	        14,306.74   	3.76   													
除草剂 	        14,306.74   	3.76   													
除草剂 	            7,651.62   	2.01   													
除草剂 	            7,651.62   	2.01   													
杀虫剂 	                644.38   	0.17   													
杀虫剂 	                644.38   	0.17   													
杀菌剂 	                200.41   	0.05   													
杀菌剂 	                200.41   	0.05   													
除草剂 	            2,703.04   	0.71   													
除草剂 	            2,703.04   	0.71   													
除草剂 	                239.53   	0.06   													
除草剂 	                239.53   	0.06   													
杀虫剂 	                384.20   	0.10   													
杀虫剂 	                384.20   	0.10   													
杀菌剂 	                361.13   	0.09   													
杀菌剂 	                361.13   	0.09   													
除草剂 	                184.55   	0.05   													
除草剂 	                184.55   	0.05   													
除草剂 	                    93.71   	0.02   													
除草剂 	                    93.71   	0.02   													
除草剂 	        14,142.45   	3.72   													
除草剂 	        14,142.45   	3.72   													
除草剂 	            2,545.97   	0.67   													
除草剂 	            2,545.97   	0.67   													
除草剂 	            5,965.53   	1.57   													
除草剂 	            5,965.53   	1.57   													
杀虫剂 	                    90.32   	0.02   													
杀虫剂 	                    90.32   	0.02   													
杀菌剂 	                155.10   	0.04   													
杀菌剂 	                155.10   	0.04   													
除草剂 	            6,131.90   	1.61   													
除草剂 	            6,131.90   	1.61   													
除草剂 	            1,212.21   	0.32   													
除草剂 	            1,212.21   	0.32   													
除草剂 	        12,063.87   	3.17   													
除草剂 	        12,063.87   	3.17   													
杀虫剂 	                547.31   	0.14   													
杀虫剂 	                547.31   	0.14   													
杀菌剂 	                115.48   	0.03   													
杀菌剂 	                115.48   	0.03   													
除草剂 	            7,049.43   	1.85   													
除草剂 	            7,049.43   	1.85   													
杀虫剂 	                309.86   	0.08   													
杀虫剂 	                309.86   	0.08   													
杀菌剂 	            1,177.64   	0.31   													
杀菌剂 	            1,177.64   	0.31   													
除草剂 	            2,261.53   	0.59   													
除草剂 	            2,261.53   	0.59   													
杀菌剂 	                    25.61   	0.01   													
杀菌剂 	                    25.61   	0.01   													
除草剂 	            8,921.72   	2.35   													
除草剂 	            8,921.72   	2.35   													
除草剂 	            7,011.98   	1.84   													
除草剂 	            7,011.98   	1.84   													
杀虫剂 	                258.88   	0.07   													
杀虫剂 	                258.88   	0.07   													
杀菌剂 	                999.45   	0.26   													
杀菌剂 	                999.45   	0.26   													
除草剂 	            6,604.87   	1.74   													
除草剂 	            6,604.87   	1.74   													
杀虫剂 	                516.26   	0.14   													
杀虫剂 	                516.26   	0.14   													
杀菌剂 	            1,087.24   	0.29   													
杀菌剂 	            1,087.24   	0.29   													
除草剂 	            5,608.38   	1.48   													
除草剂 	            5,608.38   	1.48   													
杀虫剂 	                336.61   	0.09   													
杀菌剂 	                383.12   	0.10   													
杀菌剂 	                383.12   	0.10   													
- 	157,028.03 	41.30 													
- 	157,028.03 	41.30 													
															
ATANOR S.C.A 															
NUFARM INDUSTRIA QUIMICA E   FARMACEUTICA SA 															
NUFARM INDUSTRIA QUIMICA E   FARMACEUTICA SA 															
NUFARM S.A 															
NUFARM S.A 															
NUFARM AUSTRALIA LIMITED 															
NUFARM AUSTRALIA LIMITED 															
NUFARM COLOMBIA S.A. 															
NUFARM COLOMBIA S.A. 															
NUFARM NZ DIVISION OF NUFARM LIMITED 															
NUFARM NZ DIVISION OF NUFARM LIMITED 															
NUFARM MALAYSIA SDN BHD   															
NUFARM MALAYSIA SDN BHD   															
DU PONT DO BRASIL S.A. 															
DU PONT DO BRASIL S.A. 															
DU-PONT ARGENTINA SRL 															
DU-PONT ARGENTINA SRL 															
ADAMA AUSTRALIA PTY LIMITED 															
ADAMA AUSTRALIA PTY LIMITED 															
ADAMA BRASIL S/A 															
ADAMA BRASIL S/A 															
ALLIGARE LLC 															
ALLIGARE LLC 															
COMPANIA ARGENTINA DE GRANOS S.A 															
COMPANIA ARGENTINA DE GRANOS S.A 															
AGROFINA S.A. 															
AGROFINA S.A. 															
LOS GROBO AGROPECUARIA S.A. 															
LOS GROBO AGROPECUARIA S.A. 															
OURO FINO QUÍMICA LTDA   															
OURO FINO QUÍMICA LTDA   															
AGROSERVICIOS PAMPEANOS S.A. 															
AGROSERVICIOS PAMPEANOS S.A. 															
润丰泰国 															
润丰泰国 															
TITAN AG PTY LTD 															
TITAN AG PTY LTD 															
															
2 															
3 															
3 															
4 															
4 															
5 															
5 															
6 															
6 															
7 															
7 															
8 															
8 															
9 															
9 															
10 															
10 															
															
序号 	客户名称 	具体产品 	金额（万元） 	占比（%） 											
1 	ATANOR S.C.A 	除草剂 	      11,636.90   	        4.00   											
1 	ATANOR S.C.A 	除草剂 	      11,636.90   	        4.00   											
1 	ATANOR S.C.A 	杀虫剂 	              76.40   	        0.03   											
1 	ATANOR S.C.A 	杀虫剂 	              76.40   	        0.03   											
1 	Albaugh LLC 	除草剂 	      11,037.86   	        3.80   											
1 	Albaugh LLC 	除草剂 	      11,037.86   	        3.80   											
1 	Albaugh LLC 	杀菌剂 	            149.56   	        0.05   											
1 	Albaugh LLC 	杀菌剂 	            149.56   	        0.05   											
1 	ATANOR DO BRASIL LTDA 	除草剂 	        5,702.41   	        1.96   											
1 	ATANOR DO BRASIL LTDA 	除草剂 	        5,702.41   	        1.96   											
2 	NUFARM S.A 	除草剂 	      10,053.36   	        3.46   											
2 	NUFARM S.A 	除草剂 	      10,053.36   	        3.46   											
2 	NUFARM S.A 	杀虫剂 	            414.72   	        0.14   											
2 	NUFARM S.A 	杀虫剂 	            414.72   	        0.14   											
2 	NUFARM S.A 	杀菌剂 	              71.83   	        0.02   											
2 	NUFARM S.A 	杀菌剂 	              71.83   	        0.02   											
2 	NUFARM AUSTRALIA LIMITED 	除草剂 	        1,319.86   	        0.45   											
2 	NUFARM AUSTRALIA LIMITED 	除草剂 	        1,319.86   	        0.45   											
2 	NUFARM COLOMBIA S.A. 	除草剂 	            792.89   	        0.27   											
2 	NUFARM COLOMBIA S.A. 	除草剂 	            792.89   	        0.27   											
2 	NUFARM COLOMBIA S.A. 	杀虫剂 	              13.38   	        0.00   											
2 	NUFARM COLOMBIA S.A. 	杀虫剂 	              13.38   	        0.00   											
